,W05p,W05se,W06p,W06se,W07p,W07se,W08p,W08se,W09p,W09se,W10p,W10se
finnow-mean,2.251,0.023,2.311,0.024,2.195,0.022,2.108,0.02,2.062,0.02,2.107,0.02
finnow-NA (%),51.92,0.78,51.12,0.78,43.66,0.77,45.14,0.78,47.54,0.78,39.89,0.76
fiyrdia-mean,NA,NA,NA,NA,321.393,44.466,397.92,54.616,441.575,75.801,315.76,53.895
fiyrdia-NA (%),NA,NA,NA,NA,53.26,0.78,52.84,0.78,57.34,0.77,48.44,0.78
howlng-mean,11.027,0.228,10.828,0.221,10.231,0.201,NA,NA,NA,NA,NA,NA
howlng-NA (%),52.24,0.78,51.82,0.78,44.26,0.77,NA,NA,NA,NA,NA,NA
netpuse-mean,2.407,0.045,2.224,0.043,2.024,0.038,1.866,0.036,1.786,0.035,1.707,0.031
netpuse-NA (%),51.56,0.78,50.83,0.78,43.24,0.77,44.9,0.78,47.3,0.78,39.69,0.76
scsf1-mean,2.62,0.029,2.633,0.026,2.726,0.021,2.824,0.022,NA,NA,2.607,0.022
scsf1-NA (%),65.61,0.74,58.41,0.77,46.18,0.78,46.82,0.78,NA,NA,41.49,0.77
scsf3a-mean,4.188,0.03,4.129,0.029,4.193,0.024,4.154,0.024,NA,NA,4.086,0.025
scsf3a-NA (%),65.63,0.74,58.51,0.77,46.11,0.78,46.74,0.78,NA,NA,42.93,0.77
scsf3b-mean,4.268,0.03,4.241,0.028,4.296,0.023,4.258,0.023,NA,NA,4.2,0.025
scsf3b-NA (%),65.95,0.74,58.9,0.77,46.11,0.78,46.82,0.78,NA,NA,43.02,0.77
scsf4a-mean,4.375,0.026,4.33,0.025,4.395,0.021,4.363,0.021,NA,NA,4.267,0.022
scsf4a-NA (%),65.75,0.74,58.58,0.77,46.18,0.78,46.77,0.78,NA,NA,42.81,0.77
scsf4b-mean,4.452,0.024,4.43,0.023,4.481,0.019,4.469,0.019,NA,NA,4.382,0.021
scsf4b-NA (%),66.04,0.74,58.9,0.77,46.18,0.78,46.74,0.78,NA,NA,43.15,0.77
scsf5-mean,1.767,0.029,1.803,0.026,1.739,0.022,1.782,0.023,NA,NA,1.808,0.022
scsf5-NA (%),65.68,0.74,58.53,0.77,45.96,0.78,46.65,0.78,NA,NA,41.64,0.77
scsf6a-mean,2.528,0.023,2.543,0.022,2.513,0.019,2.555,0.019,NA,NA,2.563,0.02
scsf6a-NA (%),65.7,0.74,58.53,0.77,46.04,0.78,46.62,0.78,NA,NA,42.63,0.77
scsf6b-mean,2.756,0.026,2.793,0.024,2.705,0.02,2.76,0.02,NA,NA,2.78,0.02
scsf6b-NA (%),65.7,0.74,58.58,0.77,46.04,0.78,46.67,0.78,NA,NA,42.61,0.77
scsf6c-mean,4.028,0.026,3.979,0.024,4.105,0.02,4.118,0.02,NA,NA,3.967,0.022
scsf6c-NA (%),65.68,0.74,58.53,0.77,46.04,0.78,46.72,0.78,NA,NA,42.51,0.77
scsf7-mean,4.33,0.027,4.302,0.026,4.401,0.02,4.364,0.022,NA,NA,4.253,0.022
scsf7-NA (%),65.63,0.74,58.53,0.77,45.99,0.78,46.69,0.78,NA,NA,41.74,0.77
