,W05p,W05se,W06p,W06se,W07p,W07se,W08p,W08se,W09p,W09se,W10p,W10se
aidxhh-0 (%),40.33,0.76,43.49,0.77,49.27,0.78,48.69,0.78,NA,NA,54.04,0.78
aidxhh-1 (%),7.97,0.42,5.61,0.36,7.54,0.41,6.37,0.38,NA,NA,6.2,0.38
aidxhh-NA (%),51.7,0.78,50.9,0.78,43.19,0.77,44.94,0.78,NA,NA,39.77,0.76
caruse-0 (%),3.55,0.29,3.48,0.29,3.33,0.28,3.11,0.27,NA,NA,NA,NA
caruse-1 (%),37.04,0.75,36.92,0.75,42.95,0.77,42.03,0.77,NA,NA,NA,NA
caruse-NA (%),59.41,0.77,59.6,0.77,53.72,0.78,54.86,0.78,NA,NA,NA,NA
finfut-1 (%),8.6,0.44,10.33,0.47,12.11,0.51,13.2,0.53,11.23,0.49,13.17,0.53
finfut-2 (%),28.29,0.7,28.17,0.7,35.29,0.75,34.05,0.74,33.03,0.73,37.8,0.76
finfut-3 (%),10.26,0.47,9.99,0.47,8.26,0.43,6.95,0.4,7.37,0.41,8.22,0.43
finfut-NA (%),52.84,0.78,51.51,0.78,44.34,0.77,45.79,0.78,48.37,0.78,40.81,0.77
j2has-0 (%),44.87,0.78,46.26,0.78,53.43,0.78,51.8,0.78,49.51,0.78,57.17,0.77
j2has-1 (%),3.33,0.28,2.7,0.25,3.16,0.27,3.06,0.27,2.97,0.26,2.99,0.27
j2has-NA (%),51.8,0.78,51.05,0.78,43.41,0.77,45.14,0.78,47.52,0.78,39.84,0.76
jbhas-0 (%),23.99,0.67,23.21,0.66,27.56,0.7,26.25,0.69,24.72,0.67,28.46,0.7
jbhas-1 (%),27.83,0.7,28.76,0.71,30.89,0.72,31.4,0.72,29.51,0.71,33.88,0.74
jbhas-NA (%),48.18,0.78,48.03,0.78,41.54,0.77,42.34,0.77,45.77,0.78,37.65,0.76
jbsemp-0 (%),NA,NA,NA,NA,4.06,0.31,4.33,0.32,4.3,0.32,4.74,0.33
jbsemp-1 (%),NA,NA,NA,NA,28.85,0.71,28.46,0.7,27.05,0.69,30.92,0.72
jbsemp-NA (%),NA,NA,NA,NA,67.09,0.73,67.21,0.73,68.64,0.72,64.34,0.75
jbterm1-0 (%),NA,NA,NA,NA,3.26,0.28,3.26,0.28,3.38,0.28,3.55,0.29
jbterm1-1 (%),NA,NA,NA,NA,29.65,0.71,29.48,0.71,27.98,0.7,32.04,0.73
jbterm1-NA (%),NA,NA,NA,NA,67.09,0.73,67.26,0.73,68.64,0.72,64.41,0.75
lkmove-0 (%),32.06,0.73,32.98,0.73,37.92,0.76,36.41,0.75,NA,NA,19.11,0.61
lkmove-1 (%),16.26,0.58,16.04,0.57,18.38,0.6,18.08,0.6,NA,NA,40.67,0.77
lkmove-NA (%),51.68,0.78,50.97,0.78,43.7,0.77,45.5,0.78,NA,NA,40.23,0.76
mobuse-0 (%),4.11,0.31,4.04,0.31,3.57,0.29,2.89,0.26,3.28,0.28,2.89,0.26
mobuse-1 (%),47.89,0.78,48.18,0.78,55.06,0.78,54.89,0.78,50.95,0.78,59.55,0.77
mobuse-NA (%),48.01,0.78,47.79,0.78,41.37,0.77,42.22,0.77,45.77,0.78,37.55,0.76
scghqa-1 (%),0.85,0.14,1.53,0.19,1.58,0.19,1.73,0.2,NA,NA,2.58,0.25
scghqa-2 (%),28,0.7,33.13,0.73,44.21,0.77,42.88,0.77,NA,NA,47.3,0.78
scghqa-3 (%),4.98,0.34,5.91,0.37,6.71,0.39,7.24,0.4,NA,NA,7.49,0.41
scghqa-4 (%),0.53,0.11,0.95,0.15,1.26,0.17,1.17,0.17,NA,NA,0.97,0.15
scghqa-NA (%),65.63,0.74,58.48,0.77,46.23,0.78,46.99,0.78,NA,NA,41.66,0.77
scghqb-1 (%),12.86,0.52,14.49,0.55,20.03,0.62,20.83,0.63,NA,NA,21.8,0.64
scghqb-2 (%),15.75,0.57,19.57,0.62,24.82,0.67,24.84,0.67,NA,NA,26.84,0.69
scghqb-3 (%),4.69,0.33,5.96,0.37,6.66,0.39,5.64,0.36,NA,NA,7.68,0.42
scghqb-4 (%),1.09,0.16,1.51,0.19,2.21,0.23,1.75,0.2,NA,NA,2.07,0.22
scghqb-NA (%),65.61,0.74,58.48,0.77,46.28,0.78,46.94,0.78,NA,NA,41.61,0.77
scghqc-1 (%),2.72,0.25,3.14,0.27,4.33,0.32,4.69,0.33,NA,NA,4.93,0.34
scghqc-2 (%),26.71,0.69,32.4,0.73,41.66,0.77,41.57,0.77,NA,NA,44.65,0.78
scghqc-3 (%),3.55,0.29,4.55,0.32,5.83,0.37,5.27,0.35,NA,NA,6.85,0.39
scghqc-4 (%),1.31,0.18,1.29,0.18,1.8,0.21,1.46,0.19,NA,NA,1.82,0.21
scghqc-NA (%),65.7,0.74,58.63,0.77,46.38,0.78,47.01,0.78,NA,NA,41.74,0.77
scghqd-1 (%),2.19,0.23,2.55,0.25,3.09,0.27,3.86,0.3,NA,NA,3.35,0.28
