,W05p,W05se,W06p,W06se,W07p,W07se,W08p,W08se,W09p,W09se,W10p,W10se
aidxhh-single-0 (%),8.91,0.35,8.38,0.34,6.19,0.3,4.85,0.23,NA,NA,8.23,0.29
aidxhh-mixed-0 (%),15.37,0.43,14.13,0.42,11.69,0.38,9.47,0.32,NA,NA,7.38,0.29
aidxhh-sign.Diff-0 (%),-6.46,***,-5.74,***,-5.5,***,-4.62,***,NA,NA,0.85,**
aidxhh-single-1 (%),1.76,0.16,1.05,0.13,1.16,0.13,0.66,0.09,NA,NA,1.04,0.11
aidxhh-mixed-1 (%),3.04,0.21,2.12,0.17,2.01,0.17,1.33,0.13,NA,NA,0.92,0.11
aidxhh-sign.Diff-1 (%),-1.27,***,-1.07,***,-0.85,***,-0.67,***,NA,NA,0.12,
aidxhh-single-NA (%),89.32,0.38,90.57,0.36,92.65,0.32,94.49,0.24,NA,NA,90.73,0.3
aidxhh-mixed-NA (%),81.59,0.46,83.75,0.44,86.3,0.41,89.2,0.34,NA,NA,91.7,0.31
aidxhh-sign.Diff-NA (%),7.73,***,6.82,***,6.35,***,5.28,***,NA,NA,-0.96,**
caruse-single-0 (%),0.9,0.12,0.7,0.1,0.58,0.09,0.46,0.07,NA,NA,NA,NA
caruse-mixed-0 (%),1.25,0.13,1.09,0.12,0.79,0.11,0.53,0.08,NA,NA,NA,NA
caruse-sign.Diff-0 (%),-0.35,**,-0.39,**,-0.21,,-0.07,,NA,NA,NA,NA
caruse-single-1 (%),8.52,0.34,7.65,0.33,5.73,0.29,4.19,0.21,NA,NA,NA,NA
caruse-mixed-1 (%),13.81,0.41,12.21,0.39,10.77,0.37,8.93,0.32,NA,NA,NA,NA
caruse-sign.Diff-1 (%),-5.29,***,-4.55,***,-5.04,***,-4.74,***,NA,NA,NA,NA
caruse-single-NA (%),90.58,0.36,91.65,0.34,93.69,0.3,95.35,0.22,NA,NA,NA,NA
caruse-mixed-NA (%),84.94,0.43,86.7,0.41,88.44,0.38,90.54,0.32,NA,NA,NA,NA
caruse-sign.Diff-NA (%),5.64,***,4.94,***,5.25,***,4.81,***,NA,NA,NA,NA
finfut-single-1 (%),1.95,0.17,2.14,0.18,1.34,0.14,0.93,0.1,0.77,0.09,1.95,0.14
finfut-mixed-1 (%),3.24,0.21,2.71,0.19,2.61,0.19,2.14,0.16,1.49,0.12,1.37,0.13
finfut-sign.Diff-1 (%),-1.29,***,-0.56,**,-1.27,***,-1.21,***,-0.72,***,0.57,***
finfut-single-2 (%),6.33,0.3,5.73,0.29,4.81,0.26,3.86,0.2,3.4,0.19,5.96,0.25
finfut-mixed-2 (%),10.72,0.37,9.37,0.35,8.58,0.34,6.96,0.28,5.44,0.23,5.56,0.25
finfut-sign.Diff-2 (%),-4.39,***,-3.63,***,-3.77,***,-3.1,***,-2.05,***,0.4,
finfut-single-3 (%),2.19,0.18,1.49,0.15,1.13,0.13,0.65,0.08,0.7,0.09,1.12,0.11
finfut-mixed-3 (%),3.98,0.23,3.95,0.23,2.23,0.18,1.64,0.14,1.15,0.11,1.31,0.13
finfut-sign.Diff-3 (%),-1.79,***,-2.46,***,-1.11,***,-0.99,***,-0.45,***,-0.19,
finfut-single-NA (%),89.53,0.38,90.63,0.36,92.73,0.32,94.56,0.24,95.13,0.23,90.97,0.3
finfut-mixed-NA (%),82.06,0.46,83.97,0.44,86.58,0.41,89.26,0.34,91.91,0.28,91.76,0.3
finfut-sign.Diff-NA (%),7.47,***,6.66,***,6.15,***,5.3,***,3.22,***,-0.79,*
j2has-single-0 (%),9.93,0.37,8.96,0.35,6.98,0.31,5.31,0.24,4.77,0.23,8.84,0.3
j2has-mixed-0 (%),17.09,0.45,15.36,0.43,12.91,0.4,10.11,0.33,7.73,0.27,7.9,0.3
j2has-sign.Diff-0 (%),-7.16,***,-6.4,***,-5.93,***,-4.8,***,-2.96,***,0.94,**
j2has-single-1 (%),0.75,0.11,0.44,0.08,0.35,0.07,0.19,0.05,0.22,0.05,0.42,0.07
j2has-mixed-1 (%),1.26,0.13,0.89,0.11,0.69,0.1,0.66,0.09,0.43,0.07,0.39,0.07
j2has-sign.Diff-1 (%),-0.52,***,-0.45,***,-0.34,***,-0.47,***,-0.21,**,0.03,
j2has-single-NA (%),89.32,0.38,90.6,0.36,92.67,0.32,94.5,0.24,95.01,0.23,90.74,0.3
j2has-mixed-NA (%),81.65,0.46,83.75,0.44,86.4,0.41,89.23,0.34,91.84,0.28,91.71,0.31
j2has-sign.Diff-NA (%),7.67,***,6.85,***,6.26,***,5.27,***,3.17,***,-0.97,**
jbhas-single-0 (%),5.22,0.27,4.38,0.25,3.51,0.23,3.01,0.18,2.69,0.17,4.86,0.22
jbhas-mixed-0 (%),9.23,0.35,7.66,0.32,6.65,0.3,4.87,0.24,3.77,0.2,3.74,0.21
jbhas-sign.Diff-0 (%),-4.01,***,-3.28,***,-3.13,***,-1.86,***,-1.08,***,1.11,***
jbhas-single-1 (%),6.54,0.3,5.8,0.29,4.02,0.24,2.7,0.17,2.43,0.17,4.9,0.22
jbhas-mixed-1 (%),10.24,0.36,9.14,0.34,7.16,0.31,6.2,0.27,4.53,0.21,4.62,0.23
jbhas-sign.Diff-1 (%),-3.7,***,-3.34,***,-3.15,***,-3.5,***,-2.11,***,0.27,
jbhas-single-NA (%),88.24,0.4,89.82,0.37,92.47,0.33,94.3,0.25,94.88,0.24,90.25,0.31
jbhas-mixed-NA (%),80.53,0.47,83.19,0.45,86.19,0.41,88.93,0.35,91.7,0.28,91.63,0.31
jbhas-sign.Diff-NA (%),7.71,***,6.63,***,6.28,***,5.37,***,3.18,***,-1.39,***
jbsemp-single-0 (%),NA,NA,NA,NA,0.62,0.1,0.41,0.07,0.36,0.06,0.69,0.09
jbsemp-mixed-0 (%),NA,NA,NA,NA,0.99,0.12,0.87,0.1,0.72,0.09,0.67,0.09
jbsemp-sign.Diff-0 (%),NA,NA,NA,NA,-0.36,**,-0.46,***,-0.36,***,0.02,
jbsemp-single-1 (%),NA,NA,NA,NA,3.7,0.23,2.42,0.16,2.25,0.16,4.56,0.22
jbsemp-mixed-1 (%),NA,NA,NA,NA,6.58,0.3,5.58,0.25,4.03,0.2,4.13,0.22
jbsemp-sign.Diff-1 (%),NA,NA,NA,NA,-2.88,***,-3.17,***,-1.78,***,0.43,
jbsemp-single-NA (%),NA,NA,NA,NA,95.68,0.25,97.17,0.18,97.39,0.17,94.74,0.23
jbsemp-mixed-NA (%),NA,NA,NA,NA,92.44,0.32,93.54,0.27,95.25,0.22,95.19,0.24
jbsemp-sign.Diff-NA (%),NA,NA,NA,NA,3.24,***,3.63,***,2.14,***,-0.45,
jbterm1-single-0 (%),NA,NA,NA,NA,0.43,0.08,0.25,0.05,0.18,0.05,0.44,0.07
jbterm1-mixed-0 (%),NA,NA,NA,NA,0.69,0.1,0.6,0.09,0.49,0.07,0.48,0.08
jbterm1-sign.Diff-0 (%),NA,NA,NA,NA,-0.26,**,-0.36,***,-0.3,***,-0.03,
jbterm1-single-1 (%),NA,NA,NA,NA,3.91,0.24,2.58,0.17,2.44,0.17,4.81,0.22
