,var.overlap,prop.overlap
1,aidhh_e|aidhh_f,0.843
2,aidhh_f|aidhh_g,0.713
3,aidhh_g|aidhh_h,0.82
4,aidhh_h|aidhh_i,0.021
5,aidhh_i|aidhh_j,0.667
6,NA,NA
7,aidxhh_e|aidxhh_f,0.856
8,aidxhh_f|aidxhh_g,0.748
9,aidxhh_g|aidxhh_h,0.823
10,aidxhh_h|aidxhh_j,0.747
11,NA,NA
12,caruse_e|caruse_f,0.869
13,caruse_f|caruse_g,0.768
14,caruse_g|caruse_h,0.838
15,caruse_h|caruse_i,0.013
16,caruse_i|caruse_j,0.69
17,NA,NA
18,finfut_e|finfut_f,0.852
19,finfut_f|finfut_g,0.738
20,finfut_g|finfut_h,0.816
21,finfut_h|finfut_i,0.838
22,finfut_i|finfut_j,0.805
23,NA,NA
24,finnow_e|finnow_f,0.854
25,finnow_f|finnow_g,0.744
26,finnow_g|finnow_h,0.823
27,finnow_h|finnow_i,0.849
28,finnow_i|finnow_j,0.812
29,NA,NA
30,fiyrdia_e|fiyrdia_f,0.599
31,fiyrdia_f|fiyrdia_g,0.628
32,fiyrdia_g|fiyrdia_h,0.749
33,fiyrdia_h|fiyrdia_i,0.73
34,fiyrdia_i|fiyrdia_j,0.741
35,NA,NA
36,howlng_e|howlng_f,0.846
37,howlng_f|howlng_g,0.739
38,NA,NA
39,j2has_e|j2has_f,0.856
40,j2has_f|j2has_g,0.744
41,j2has_g|j2has_h,0.822
42,j2has_h|j2has_i,0.848
43,j2has_i|j2has_j,0.811
44,NA,NA
45,jbhas_e|jbhas_f,0.862
46,jbhas_f|jbhas_g,0.73
47,jbhas_g|jbhas_h,0.829
48,jbhas_h|jbhas_i,0.843
49,jbhas_i|jbhas_j,0.811
50,NA,NA
51,jbsemp_e|jbsemp_f,0.815
52,jbsemp_f|jbsemp_g,0.668
53,jbsemp_g|jbsemp_h,0.772
54,jbsemp_h|jbsemp_i,0.787
55,jbsemp_i|jbsemp_j,0.748
56,NA,NA
57,jbterm1_e|jbterm1_f,0.442
58,jbterm1_f|jbterm1_g,0.39
59,jbterm1_g|jbterm1_h,0.768
