X1,X2,X3
18,adcts,0,1
259,adcts,0,1
510,adcts,0,1
753,adcts,0,1
990,adcts,0,1
1238,adcts,0,1
16,aidhh,0,1
257,aidhh,0,1
508,aidhh,0,1
751,aidhh,0,1
1109,aidhh,0,1
1236,aidhh,0,1
17,aidxhh,0,1
258,aidxhh,0,1
509,aidxhh,0,1
752,aidxhh,0,1
1237,aidxhh,0,1
44,bendis1,0,1
285,bendis1,0,1
552,bendis1,0,1
798,bendis1,0,1
1031,bendis1,0,1
1283,bendis1,0,1
292,bendis10,0,0
560,bendis10,0,0
806,bendis10,0,0
1291,bendis10,0,0
51,bendis10,0,1
1039,bendis10,0,1
45,bendis2,0,1
286,bendis2,0,1
553,bendis2,0,1
799,bendis2,0,1
1032,bendis2,0,1
1284,bendis2,0,1
46,bendis3,0,1
287,bendis3,0,1
554,bendis3,0,1
800,bendis3,0,1
1033,bendis3,0,1
1285,bendis3,0,1
47,bendis4,0,1
288,bendis4,0,1
555,bendis4,0,1
801,bendis4,0,1
1034,bendis4,0,1
1286,bendis4,0,1
48,bendis5,0,1
289,bendis5,0,1
556,bendis5,0,1
802,bendis5,0,1
1035,bendis5,0,1
1287,bendis5,0,1
49,bendis7,0,1
290,bendis7,0,1
558,bendis7,0,1
804,bendis7,0,1
1037,bendis7,0,1
1289,bendis7,0,1
50,bendis8,0,1
291,bendis8,0,1
559,bendis8,0,1
805,bendis8,0,1
1038,bendis8,0,1
1290,bendis8,0,1
53,bendis96,0,1
294,bendis96,0,1
562,bendis96,0,1
808,bendis96,0,1
1041,bendis96,0,1
1293,bendis96,0,1
52,bendis97,0,1
293,bendis97,0,1
561,bendis97,0,1
807,bendis97,0,1
1040,bendis97,0,1
1292,bendis97,0,1
54,benpen1,0,1
295,benpen1,0,1
543,benpen1,0,1
789,benpen1,0,1
1022,benpen1,0,1
1274,benpen1,0,1
55,benpen2,0,1
296,benpen2,0,1
544,benpen2,0,1
790,benpen2,0,1
1023,benpen2,0,1
1275,benpen2,0,1
56,benpen3,0,1
297,benpen3,0,1
545,benpen3,0,1
791,benpen3,0,1
1024,benpen3,0,1
1276,benpen3,0,1
57,benpen4,0,1
298,benpen4,0,1
546,benpen4,0,1
792,benpen4,0,1
1025,benpen4,0,1
1277,benpen4,0,1
58,benpen5,0,1
299,benpen5,0,1
547,benpen5,0,1
793,benpen5,0,1
1026,benpen5,0,1
1278,benpen5,0,1
59,benpen6,0,1
300,benpen6,0,1
548,benpen6,0,1
794,benpen6,0,1
1027,benpen6,0,1
1279,benpen6,0,1
60,benpen7,0,0
301,benpen7,0,0
549,benpen7,0,1
795,benpen7,0,1
1028,benpen7,0,1
1280,benpen7,0,1
61,benpen8,0,1
302,benpen8,0,1
550,benpen8,0,1
796,benpen8,0,1
1029,benpen8,0,1
1281,benpen8,0,1
62,benpen96,0,1
303,benpen96,0,1
551,benpen96,0,1
797,benpen96,0,1
1030,benpen96,0,1
1282,benpen96,0,1
63,bensta2,0,1
304,bensta2,0,1
574,bensta2,0,1
820,bensta2,0,1
1305,bensta2,0,1
575,bensta3,0,0
821,bensta3,0,0
1306,bensta3,0,0
64,bensta3,0,1
305,bensta3,0,1
65,bensta4,0,1
306,bensta4,0,1
576,bensta4,0,1
822,bensta4,0,1
1307,bensta4,0,1
66,bensta5,0,1
307,bensta5,0,1
577,bensta5,0,1
823,bensta5,0,1
1308,bensta5,0,1
67,bensta6,0,1
308,bensta6,0,1
578,bensta6,0,1
824,bensta6,0,1
1309,bensta6,0,1
68,bensta7,0,1
309,bensta7,0,1
579,bensta7,0,1
825,bensta7,0,1
1310,bensta7,0,1
70,bensta96,0,1
311,bensta96,0,1
581,bensta96,0,1
827,bensta96,0,1
1312,bensta96,0,1
69,bensta97,0,1
310,bensta97,0,1
580,bensta97,0,1
826,bensta97,0,1
1311,bensta97,0,1
116,birthy,1916,1996
357,birthy,1916,1997
632,birthy,1917,1998
911,birthy,1917,1999
1117,birthy,1921,2000
1400,birthy,1921,2001
12,caruse,0,1
253,caruse,0,1
503,caruse,0,1
746,caruse,0,1
1110,caruse,1,1
1231,caruse,0,1
164,country,1,3
405,country,1,3
681,country,1,3
960,country,1,3
1166,country,1,3
1434,country,1,3
141,ctadd1_code,0,1
367,ctadd1_code,0,1
639,ctadd1_code,0,1
919,ctadd1_code,1,1
1125,ctadd1_code,1,1
1408,ctadd1_code,1,1
142,ctadd2_code,0,1
368,ctadd2_code,0,1
640,ctadd2_code,0,1
920,ctadd2_code,1,1
1126,ctadd2_code,1,1
1409,ctadd2_code,1,1
145,ctcnty_code,0,1
371,ctcnty_code,0,1
642,ctcnty_code,0,1
922,ctcnty_code,1,1
1128,ctcnty_code,1,1
1411,ctcnty_code,1,1
143,ctemail_code,0,1
369,ctemail_code,0,1
646,ctemail_code,0,1
926,ctemail_code,0,1
1132,ctemail_code,0,1
1415,ctemail_code,0,1
146,ctpcode_code,0,1
372,ctpcode_code,0,1
643,ctpcode_code,0,1
923,ctpcode_code,1,1
1129,ctpcode_code,1,1
1412,ctpcode_code,0,1
139,cttel1_code,0,1
365,cttel1_code,0,1
644,cttel1_code,0,1
924,cttel1_code,1,1
1130,cttel1_code,0,1
1413,cttel1_code,0,1
140,cttel2_code,0,1
366,cttel2_code,0,1
645,cttel2_code,0,1
925,cttel2_code,1,1
1131,cttel2_code,1,1
1414,cttel2_code,1,1
144,cttown_code,0,1
370,cttown_code,0,1
641,cttown_code,0,1
921,cttown_code,1,1
1127,cttown_code,1,1
1410,cttown_code,1,1
104,dvage,16,95
1104,dvage,16,95
887,dvage,16,97
345,dvage,16,96
608,dvage,16,96
1388,dvage,16,96
107,employ,0,1
348,employ,0,1
611,employ,0,1
890,employ,0,1
1107,employ,0,1
1391,employ,0,1
149,fimngrs_if,0,1.00000011920929
666,fimngrs_if,0,1.00000011920929
942,fimngrs_if,0,1.00000011920929
1441,fimngrs_if,0,1.00000011920929
390,fimngrs_if,0,2.52570343017578
1148,fimngrs_if,0,1.24994802474976
148,fimnlabgrs_if,0,1
389,fimnlabgrs_if,0,1
665,fimnlabgrs_if,0,1
941,fimnlabgrs_if,0,1
1147,fimnlabgrs_if,0,1
1440,fimnlabgrs_if,0,1
73,finfut,1,3
314,finfut,1,3
584,finfut,1,3
870,finfut,1,3
1095,finfut,1,3
1355,finfut,1,3
72,finnow,1,5
313,finnow,1,5
583,finnow,1,5
869,finnow,1,5
1094,finnow,1,5
1354,finnow,1,5
71,fiyrdia,0,35000
312,fiyrdia,0,50000
582,fiyrdia,0,60000
868,fiyrdia,0,60000
1093,fiyrdia,0,60000
1353,fiyrdia,0,90000
147,fiyrdic_if,0,1
388,fiyrdic_if,0,1
664,fiyrdic_if,0,1
940,fiyrdic_if,0,1
1146,fiyrdic_if,0,1
1439,fiyrdic_if,0,1
395,fnpno,0,5
671,fnpno,0,7
950,fnpno,0,7
1156,fnpno,0,7
1424,fnpno,0,7
154,fnpno,0,8
396,fnspno,0,5
672,fnspno,0,7
951,fnspno,0,7
1157,fnspno,0,7
1425,fnspno,0,7
155,fnspno,0,8
38,ftedany,0,1
279,ftedany,0,1
531,ftedany,0,1
777,ftedany,0,1
1262,ftedany,0,1
158,grfpno,0,2
399,grfpno,0,2
675,grfpno,0,7
954,grfpno,0,7
1160,grfpno,0,7
1428,grfpno,0,7
159,grmpno,0,10
400,grmpno,0,10
955,grmpno,0,10
676,grmpno,0,8
1161,grmpno,0,8
1429,grmpno,0,8
20,hcondn1,0,1
261,hcondn1,0,1
513,hcondn1,0,1
756,hcondn1,0,1
991,hcondn1,0,1
1241,hcondn1,0,1
29,hcondn10,0,1
270,hcondn10,0,1
522,hcondn10,0,1
765,hcondn10,0,1
1000,hcondn10,0,1
1250,hcondn10,0,1
30,hcondn11,0,1
271,hcondn11,0,1
523,hcondn11,0,1
766,hcondn11,0,1
1001,hcondn11,0,1
1251,hcondn11,0,1
31,hcondn12,0,1
272,hcondn12,0,1
524,hcondn12,0,1
767,hcondn12,0,1
1002,hcondn12,0,1
1252,hcondn12,0,1
32,hcondn13,0,1
273,hcondn13,0,1
525,hcondn13,0,1
768,hcondn13,0,1
1003,hcondn13,0,1
1253,hcondn13,0,1
33,hcondn14,0,1
274,hcondn14,0,1
526,hcondn14,0,1
769,hcondn14,0,1
1004,hcondn14,0,1
1254,hcondn14,0,1
34,hcondn15,0,1
275,hcondn15,0,1
527,hcondn15,0,1
770,hcondn15,0,1
1005,hcondn15,0,1
1255,hcondn15,0,1
35,hcondn16,0,1
276,hcondn16,0,1
528,hcondn16,0,1
771,hcondn16,0,1
1006,hcondn16,0,1
1256,hcondn16,0,1
36,hcondn17,0,1
277,hcondn17,0,1
529,hcondn17,0,1
772,hcondn17,0,1
1007,hcondn17,0,1
1257,hcondn17,0,1
21,hcondn2,0,1
262,hcondn2,0,1
514,hcondn2,0,1
757,hcondn2,0,1
992,hcondn2,0,1
1242,hcondn2,0,1
515,hcondn3,0,0
22,hcondn3,0,1
263,hcondn3,0,1
758,hcondn3,0,1
993,hcondn3,0,1
1243,hcondn3,0,1
23,hcondn4,0,1
264,hcondn4,0,1
516,hcondn4,0,1
759,hcondn4,0,1
994,hcondn4,0,1
1244,hcondn4,0,1
24,hcondn5,0,1
265,hcondn5,0,1
517,hcondn5,0,1
760,hcondn5,0,1
995,hcondn5,0,1
1245,hcondn5,0,1
25,hcondn6,0,1
266,hcondn6,0,1
518,hcondn6,0,1
761,hcondn6,0,1
996,hcondn6,0,1
1246,hcondn6,0,1
26,hcondn7,0,1
267,hcondn7,0,1
519,hcondn7,0,1
762,hcondn7,0,1
997,hcondn7,0,1
1247,hcondn7,0,1
27,hcondn8,0,1
268,hcondn8,0,1
520,hcondn8,0,1
763,hcondn8,0,1
998,hcondn8,0,1
1248,hcondn8,0,1
764,hcondn9,0,0
28,hcondn9,0,1
269,hcondn9,0,1
521,hcondn9,0,1
999,hcondn9,0,1
1249,hcondn9,0,1
37,hcondn96,0,1
278,hcondn96,0,1
530,hcondn96,0,1
776,hcondn96,0,1
1011,hcondn96,0,1
1261,hcondn96,0,1
15,health,0,1
256,health,0,1
506,health,0,1
749,health,0,1
988,health,0,1
1234,health,0,1
637,hgadoptf,0,0
916,hgadoptf,0,0
1122,hgadoptf,0,0
1405,hgadoptf,0,0
120,hgadoptf,0,2
361,hgadoptf,0,2
119,hgadoptm,0,0
360,hgadoptm,0,0
915,hgadoptm,0,0
1121,hgadoptm,0,0
1404,hgadoptm,0,0
636,hgadoptm,0,2
359,hgbiof,0,5
635,hgbiof,0,7
914,hgbiof,0,7
1120,hgbiof,0,7
1403,hgbiof,0,7
118,hgbiof,0,8
913,hgbiom,0,10
117,hgbiom,0,7
358,hgbiom,0,8
634,hgbiom,0,8
1119,hgbiom,0,8
1402,hgbiom,0,8
1118,hgpart,0,5
362,hgpart,0,6
121,hgpart,0,8
633,hgpart,0,8
912,hgpart,0,8
1401,hgpart,0,8
122,hhorig,11,12
363,hhorig,11,12
651,hhorig,11,13
927,hhorig,11,13
1133,hhorig,11,13
1435,hhorig,11,17
2,hidp,1700006808,1712600408
244,hidp,1700006810,1710791610
486,hidp,1700006812,1732816812
728,hidp,1700006814,1712675214
970,hidp,1700006816,1711512416
1212,hidp,1700006818,1721324818
74,howlng,0,105
315,howlng,0,120
585,howlng,0,100
165,indendtimehh,0,23
406,indendtimehh,0,23
604,indendtimehh,6,23
1100,indendtimehh,0,23
1381,indendtimehh,0,23
965,indendtimehh,9,22
166,indendtimemm,0,59
407,indendtimemm,0,59
605,indendtimemm,0,59
966,indendtimemm,0,59
1101,indendtimemm,0,59
1382,indendtimemm,0,59
167,indendtimess,0,59
408,indendtimess,0,59
606,indendtimess,0,59
967,indendtimess,0,59
1102,indendtimess,0,59
1383,indendtimess,0,59
130,indini1_lw,0,4.14474868774414
383,indini1_lw,0,3.98060059547424
658,indini1_lw,0,3.72018694877625
935,indini1_lw,0,3.54572820663452
1141,indini1_lw,0,3.65675354003906
1446,indini1_lw,0,3.13560771942139
129,indinip_lw,0,4.26912117004395
382,indinip_lw,0,4.79806184768677
657,indinip_lw,0,4.58347225189209
934,indinip_lw,0,3.60914134979248
1140,indinip_lw,0,3.66048955917358
1445,indinip_lw,0,3.22471308708191
132,indinip_xw,0,4.178786277771
386,indinip_xw,0,3.50280714035034
661,indinip_xw,0,3.50036978721619
938,indinip_xw,0,3.45839667320251
1144,indinip_xw,0,3.52841210365295
1449,indinip_xw,0,3.38025426864624
128,indpxi1_lw,0,4.12707614898682
381,indpxi1_lw,0,4.00244283676147
656,indpxi1_lw,0,4.02644824981689
932,indpxi1_lw,0,3.98568391799927
1138,indpxi1_lw,0,4.10474109649658
1443,indpxi1_lw,0,3.13854360580444
127,indpxip_lw,0,4.3036789894104
380,indpxip_lw,0,4.70893144607544
655,indpxip_lw,0,4.45808506011963
931,indpxip_lw,0,3.61896872520447
1137,indpxip_lw,0,3.62432789802551
1442,indpxip_lw,0,3.6488950252533
133,indpxip_xw,0,5.60197448730469
385,indpxip_xw,0,3.70798492431641
660,indpxip_xw,0,3.5456120967865
937,indpxip_xw,0,3.62413382530212
1143,indpxip_xw,0,3.61384010314941
1448,indpxip_xw,0,3.06637787818909
131,indsci1_lw,0,3.65647029876709
384,indsci1_lw,0,3.44811868667603
659,indsci1_lw,0,3.63690233230591
134,indscip_xw,0,3.59990620613098
387,indscip_xw,0,3.68380069732666
662,indscip_xw,0,3.50391721725464
939,indscip_xw,0,4.17849159240723
1145,indscip_xw,0,4.26598644256592
1450,indscip_xw,0,3.31211042404175
8,ioutcome,11,21
625,ioutcome,11,21
904,ioutcome,11,21
1108,ioutcome,11,21
1392,ioutcome,11,23
249,ioutcome,11,74
108,istrtdatd,1,31
349,istrtdatd,1,31
494,istrtdatd,1,31
737,istrtdatd,1,31
979,istrtdatd,1,31
1222,istrtdatd,1,31
350,istrtdatm,1,10
736,istrtdatm,5,10
978,istrtdatm,5,10
1221,istrtdatm,5,10
109,istrtdatm,5,9
493,istrtdatm,5,11
110,istrtdaty,2012,2012
351,istrtdaty,2013,2014
492,istrtdaty,2014,2014
735,istrtdaty,2015,2015
977,istrtdaty,2016,2016
1220,istrtdaty,2017,2017
112,ivcoop,1,5
353,ivcoop,1,5
626,ivcoop,1,5
905,ivcoop,1,5
1111,ivcoop,1,5
1393,ivcoop,1,5
123,ivfio,0,1
364,ivfio,0,1
638,ivfio,0,1
918,ivfio,0,1
1124,ivfio,0,1
1407,ivfio,0,1
115,ivprsnt,0,1
356,ivprsnt,0,1
631,ivprsnt,0,1
910,ivprsnt,0,1
1116,ivprsnt,0,1
1398,ivprsnt,0,1
43,j2has,0,1
284,j2has,0,1
537,j2has,0,1
783,j2has,0,1
1016,j2has,0,1
1268,j2has,0,1
162,jbes2000,1,7
403,jbes2000,1,7
679,jbes2000,1,7
958,jbes2000,2,7
1164,jbes2000,1,7
1432,jbes2000,1,7
40,jbhas,0,1
281,jbhas,0,1
533,jbhas,0,1
779,jbhas,0,1
1013,jbhas,0,1
1264,jbhas,0,1
163,jbisco88_cc,10,933
404,jbisco88_cc,10,933
680,jbisco88_cc,10,933
959,jbisco88_cc,10,933
1165,jbisco88_cc,10,933
1433,jbisco88_cc,10,933
41,jbsemp,0,1
282,jbsemp,0,1
535,jbsemp,0,1
781,jbsemp,0,1
1015,jbsemp,0,1
1266,jbsemp,0,1
161,jbsic07_cc,1,97
402,jbsic07_cc,1,97
678,jbsic07_cc,1,96
957,jbsic07_cc,1,99
1163,jbsic07_cc,1,99
1431,jbsic07_cc,1,99
160,jbsoc00_cc,111,925
401,jbsoc00_cc,111,925
677,jbsoc00_cc,111,925
956,jbsoc00_cc,111,925
1162,jbsoc00_cc,111,925
1430,jbsoc00_cc,111,925
11,jbstat,1,97
252,jbstat,1,97
502,jbstat,1,97
745,jbstat,1,97
985,jbstat,1,97
1230,jbstat,1,97
111,jbterm1,0,1
352,jbterm1,0,1
534,jbterm1,0,1
780,jbterm1,0,1
1014,jbterm1,0,1
1265,jbterm1,0,1
106,livesp,0,1
347,livesp,0,1
610,livesp,0,1
889,livesp,0,1
1106,livesp,0,1
1390,livesp,0,1
9,lkmove,0,1
250,lkmove,0,1
500,lkmove,0,1
743,lkmove,0,1
1228,lkmove,0,1
888,marstat,1,6
105,marstat,1,7
346,marstat,1,7
1105,marstat,1,8
1389,marstat,1,8
609,marstat,1,9
42,matleave,0,1
283,matleave,0,1
536,matleave,0,1
782,matleave,0,1
1267,matleave,0,1
156,mnpno,0,10
397,mnpno,0,10
952,mnpno,0,10
673,mnpno,0,8
1158,mnpno,0,8
1426,mnpno,0,8
157,mnspno,0,10
398,mnspno,0,10
953,mnspno,0,10
674,mnspno,0,8
1159,mnspno,0,8
1427,mnspno,0,8
13,mobuse,0,1
254,mobuse,0,1
504,mobuse,0,1
747,mobuse,0,1
986,mobuse,0,1
1232,mobuse,0,1
1214,nadoptch,0,3
6,nadoptch,0,4
247,nadoptch,0,4
487,nadoptch,0,4
729,nadoptch,0,4
971,nadoptch,0,4
